,current_state,lemma,lemma_input_entities,interest_score
0,"('(c+f)=a',)",MultiplicationSimplification,"('a',)",6
1,"('1=(a*(\\frac{1}{a}))', '(c+f)=a')",AdditionZero,"('0', '1')",6
2,"('1=(a*(\\frac{1}{a}))', '1=(0+1)', '(c+f)=a')",EquivalenceSubstitution,"('1', '(a*(\\frac{1}{a}))')",6
3,"('1=(a*(\\frac{1}{a}))', '1=(0+1)', '(a*(\\frac{1}{a}))=(0+1)', '(c+f)=a')",PrincipleOfEquality,"('(a*(\\frac{1}{a}))', '(0+1)', '(c+f)', 'a')",6
4,"('1=(a*(\\frac{1}{a}))', '1=(0+1)', '(a*(\\frac{1}{a}))=(0+1)', '(c+f)=a', '((a*(\\frac{1}{a}))+(c+f))=((0+1)+a)')",AdditionCommutativity,"('c', 'f')",6
5,"('1=(a*(\\frac{1}{a}))', '1=(0+1)', '(a*(\\frac{1}{a}))=(0+1)', '(c+f)=a', '((a*(\\frac{1}{a}))+(c+f))=((0+1)+a)', '(c+f)=(f+c)')",EquivalenceSubstitution,"('(c+f)', '(f+c)')",6
6,"('1=(a*(\\frac{1}{a}))', '1=(0+1)', '(a*(\\frac{1}{a}))=(0+1)', '(c+f)=a', '((a*(\\frac{1}{a}))+(c+f))=((0+1)+a)', '(c+f)=(f+c)', '((a*(\\frac{1}{a}))+(f+c))=((0+1)+a)')",EquMoveTerm,"('(a*(\\frac{1}{a}))', '(f+c)', '((0+1)+a)')",6
7,"('(a+f)=b',)",AdditionSimplification,"('b',)",6
8,"('0=(b+(-b))', '(a+f)=b')",AdditionMultiplicationLeftDistribution,"('b', '0', '0')",6
9,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(a+f)=b')",EquivalenceSubstitution,"('0', '(b+(-b))')",6
10,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(((b+(-b))+0)*b)=((0*b)+(0*b))', '(a+f)=b')",MultiplicationSimplification,"('(((b+(-b))+0)*b)',)",6
11,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(((b+(-b))+0)*b)=((0*b)+(0*b))', '1=((((b+(-b))+0)*b)*(\\frac{1}{(((b+(-b))+0)*b)}))', '(a+f)=b')",EquivalenceSubstitution,"('(((b+(-b))+0)*b)', '((0*b)+(0*b))')",6
12,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(((b+(-b))+0)*b)=((0*b)+(0*b))', '1=((((b+(-b))+0)*b)*(\\frac{1}{(((b+(-b))+0)*b)}))', '1=((((b+(-b))+0)*b)*(\\frac{1}{((0*b)+(0*b))}))', '(a+f)=b')",MultiplicationCommutativity,"('((b+(-b))+0)', 'b')",6
13,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(((b+(-b))+0)*b)=((0*b)+(0*b))', '1=((((b+(-b))+0)*b)*(\\frac{1}{(((b+(-b))+0)*b)}))', '1=((((b+(-b))+0)*b)*(\\frac{1}{((0*b)+(0*b))}))', '(((b+(-b))+0)*b)=(b*((b+(-b))+0))', '(a+f)=b')",EquivalenceSubstitution,"('(((b+(-b))+0)*b)', '(b*((b+(-b))+0))')",6
14,"('0=(b+(-b))', '((0+0)*b)=((0*b)+(0*b))', '(((b+(-b))+0)*b)=((0*b)+(0*b))', '1=((((b+(-b))+0)*b)*(\\frac{1}{(((b+(-b))+0)*b)}))', '1=((((b+(-b))+0)*b)*(\\frac{1}{((0*b)+(0*b))}))', '(((b+(-b))+0)*b)=(b*((b+(-b))+0))', '1=((b*((b+(-b))+0))*(\\frac{1}{((0*b)+(0*b))}))', '(a+f)=b')",PrincipleOfEquality,"('1', '((b*((b+(-b))+0))*(\\frac{1}{((0*b)+(0*b))}))', '(a+f)', 'b')",6
15,"('((a*c)+f)=c',)",MultiplicationAssociativity,"('c', 'a', 'c')",8
16,"('(c*(a*c))=((c*a)*c)', '((a*c)+f)=c')",AdditionZero,"('0', '(c*(a*c))')",8
17,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((a*c)+f)=c')",EquivalenceSubstitution,"('(c*(a*c))', '((c*a)*c)')",8
18,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((c*a)*c)=(0+(c*(a*c)))', '((a*c)+f)=c')",AdditionMultiplicationRightDistribution,"('0', '((c*a)*c)', '(c*a)')",8
19,"('(c*(a*c))=((c*a)*c)', '(c*(a*c))=(0+(c*(a*c)))', '((c*a)*c)=(0+(c*(a*c)))', '(0*(((c*a)*c)+(c*a)))=((0*((c*a)*c))+(0*(c*a)))', '((a*c)+f)=c')",EquivalenceSubstitution,"('((c*a)*c)', '(0+(c*(a*c)))')",8
