,starting_conditions,theorem
0,"Given that (c+f)=a the following is statement true:
",(a*(\frac{1}{a}))=(((0+1)+a)+(-(f+c)))
1,"Given that (a+f)=b the following is statement true:
",(1+(a+f))=(((b*((b+(-b))+0))*(\frac{1}{((0*b)+(0*b))}))+b)
2,"Given that ((a*c)+f)=c the following is statement true:
",((0*((0+(c*(a*c)))+(c*a)))+((a*c)+f))=(((0*((a*c)*c))+(0*(c*a)))+c)
3,"Given that (c+f)=b the following is statement true:
",(((a*a)+b)*((a^2)*(a*a)))=((((a*a)+(c+f))*(a^2))*(a*a))
4,"The following statement is true:
",((((a*b)+((a*(b+c))+(-((a*b)+(a*c)))))*0)*(\frac{1}{(((a*b)*0)+(0*0))}))=(1*1)
5,"Given that (b+f)=(a*1) the following is statement true:
",1=(((((a+(-(a*1)))+b)*0)+(b+f))*(\frac{1}{(((0*0)+(b*0))+(a*1))}))
6,"The following statement is true:
",(((((b^2)+b)*(b^2))+(-(((b*(0+b))*(b^2))+(b*(b^2)))))+(a+0))=((0+a)+0)
7,"The following statement is true:
",(1*1)=(1^2)
8,"The following statement is true:
",(c*c)=(c*c)
9,"The following statement is true:
",(((0*a)+(0*(-a)))*(\frac{1}{(0^2)}))=(1*1)
10,"Given that (c+f)=c the following is statement true:
",(1*((((a+(c+f))*b)*(a+c))*(\frac{1}{(1*((a+c)*(b*(a+c))))})))=(1^2)
11,"The following statement is true:
",((((c*c)+(c*c))+0)+(c*c))=(1*((((c^2)+(c*c))+0)+(0+(c*c))))
12,"Given that ((c*b)+f)=(c*b) the following is statement true:
",(0+((c*b)+f))=((c*b)+((c*(b+c))+(-((c*b)+(c^2)))))
13,"The following statement is true:
",((((a*a)+(a^2))+(-((a*(a+a))*1)))+((a^2)+(a*a)))=((0+(a^2))+(a*a))
14,"Given that (c+f)=a the following is statement true:
",((((((b*a)*a)+a)+a)*(b*a))+0)=(1*((((b*(a*a))+(c+f))*(b*a))+(a*(b*a))))
15,"Given that (a+f)=c the following is statement true:
",0=((((b*f)+((a+(a+f))*f))*(f+a))+(-((f*((b+(a+c))*f))+(((b+(a+c))*f)*a))))
16,"The following statement is true:
",(0*(((0+c)*(0+(0+c)))+(-((0*c)+((0+c)*c)))))=(0^2)
17,"Given that (0+f)=c the following is statement true:
",(((b*a)+c)+(-(0+f)))=(1*((a+0)*b))
18,"The following statement is true:
",((((a+(a+c))*(a+c))+(b*(a+c)))*(a*c))=(((((((a+c)+a)+b)*a)+((((a+c)+a)+b)*c))*a)*c)
19,"The following statement is true:
",1=(((c+(1*(b*(b+((c+b)+c)))))*b)*(\frac{1}{((c*b)+(((b*b)+(b*(c+(b+c))))*b))}))
20,"Given that (0+f)=a the following is statement true:
",a=(((a+a)+0)+(-(0+f)))
21,"Given that (c+f)=(b*a) the following is statement true:
",((b*a)*((0+1)+1))=(((b*a)*(((b*(a*a))+(c+f))*(\frac{1}{(((b*a)*a)+(b*a))})))+((b*a)*1))
22,"The following statement is true:
",((c*(c*1))+(0*(c*1)))=((c+0)^2)
23,"Given that ((0+c)+f)=(0+c) the following is statement true:
",(((c+((0+c)+f))^2)*(f*(0+c)))=((((c*((0+c)+(0+c)))+(((0+c)+f)*((0+c)+(0+c))))*f)*(0+c))
24,"The following statement is true:
",(0^2)=(0+((a*0)+(0*(-a))))
25,"Given that (a+f)=(b^2) the following is statement true:
",0=((((c+(((b*b)+c)+(b^2)))*(b^2))+(a+f))+(-(((c*(b^2))+(((b^2)+(c+(b^2)))*(b^2)))+(b^2))))
26,"The following statement is true:
",(((0+c)*((c+c)+c))+(((c+c)*(c+c))+((c+c)*c)))=(((0+c)+(c+c))^2)
27,"Given that (a+f)=a the following is statement true:
",(((a+(-a))+a)+(-f))=((0+a)+0)
